Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
regulation of viral genome replication (GO:0045069)	16/67	5.35952569873013e-05	0.00806072665089012	16	0.238805970149254	CXCL8;RSAD2;IFIT5;EIF2AK2;ISG15;IFIT1;OASL;SRPK1;IFIH1;FAM111A;TRIM6;PLSCR1;OAS1;SLPI;OAS3;PKN2
negative regulation of viral genome replication (GO:0045071)	14/54	5.91439154729231e-05	0.00855312008377658	14	0.259259259259259	RSAD2;IFIT5;EIF2AK2;ISG15;IFIT1;OASL;SRPK1;IFIH1;FAM111A;TRIM6;PLSCR1;OAS1;SLPI;OAS3
regulation of defense response (GO:0031347)	18/83	7.36619055203851e-05	0.0102581023983944	18	0.216867469879518	ZBP1;ANXA1;IL1R1;ELMOD2;PTPN22;PTGS2;ZMPSTE24;HERC5;BST1;CASP5;CASP4;CASP1;XCL1;JAK2;FCGR2B;PIK3AP1;BIRC2;BIRC3
nuclear-transcribed mRNA catabolic process (GO:0000956)	29/171	7.94357289866101e-05	0.0106670836067734	29	0.169590643274854	RPL31;RPL34;RPL11;RPL36A;RPL9;RPL7;RPS17;RPS15A;RPS18;MAGOH;RPL35;RPL39;RPS10;RPL41;RPL21;RPS7;RPL23;LSM1;RPS3A;PNRC2;RPS27;XRN1;RPS29;RPL24;RPL27;EIF3E;RPS21;RPS24;DCP2
negative regulation of viral process (GO:0048525)	16/70	9.42438540113274e-05	0.012219203140779	16	0.228571428571429	RSAD2;IFIT5;EIF2AK2;LARP7;ISG15;IFIT1;OASL;SRPK1;IFIH1;FAM111A;TRIM6;PLSCR1;OAS1;SLPI;OAS3;CHMP3
defense response to symbiont (GO:0140546)	23/124	0.000106347711185078	0.0133289131351964	23	0.185483870967742	ZBP1;RTP4;RSAD2;DDX58;IFIT5;IFI6;EIF2AK2;ISG15;IFIT1;RNASE2;IFI44L;IFIT3;IFIT2;OASL;IFIH1;PLSCR1;IFI27;OAS1;NDUFAF4;OAS3;IRF7;PMAIP1;ABCE1
gene expression (GO:0010467)	49/356	0.000112474403521033	0.0135649421369271	49	0.137640449438202	RPL31;MRPS14;RPL34;MRPL36;RPL9;MRPL32;RPL7;MRPL42;MRPL3;RPS17;RPS18;MAGOH;RPL35;RPL39;RPS10;NUP214;RPL21;RPS7;RPL23;MRPS21;RPS3A;CDC40;THOC7;MRPS18C;THAP1;MRPL44;SARNP;RPL24;RPL27;SLU7;MRPS36;MRPS33;RPL11;SRBD1;RPL36A;MRPL13;MRPL11;RPS15A;EIF4E;POLR2K;RPL41;MRPL27;RPS27;COPS5;RPS29;RPS21;RSL24D1;RPS24;NUP37
ribosome biogenesis (GO:0042254)	31/192	0.000118027529156871	0.0135649421369271	31	0.161458333333333	RPL31;RPL34;RPL11;FCF1;RPL36A;MRPL36;RPL9;WDR43;RPL7;RPF1;RPS17;EMG1;RPL35;RIOK2;EXOSC3;RPL39;DCAF13;EIF2A;RPL41;RPL21;RPS7;RPL23;MRPL22;RPS27;C1D;ZNF658;RPL24;RPL27;ABCE1;RPS24;RPL26L1
defense response to virus (GO:0051607)	24/133	0.000119054013435797	0.0135649421369271	24	0.180451127819549	ZBP1;RTP4;RSAD2;DDX58;IFIT5;IFI6;EIF2AK2;ISG15;IFIT1;RNASE2;IFI44L;IFIT3;IFIT2;OASL;IFIH1;CXCL10;PLSCR1;IFI27;OAS1;NDUFAF4;OAS3;IRF7;PMAIP1;ABCE1
cellular response to type I interferon (GO:0071357)	15/65	0.000137829975188101	0.0145629410344642	15	0.230769230769231	RSAD2;IFIT5;IFI6;ISG15;IFI35;IFIT1;IFIT3;IFIT2;OASL;IFI27;OAS1;OAS3;IRF7;GBP2;XAF1
type I interferon signaling pathway (GO:0060337)	15/65	0.000137829975188101	0.0145629410344642	15	0.230769230769231	RSAD2;IFIT5;IFI6;ISG15;IFI35;IFIT1;IFIT3;IFIT2;OASL;IFI27;OAS1;OAS3;IRF7;GBP2;XAF1
cellular protein metabolic process (GO:0044267)	55/417	0.000139432414159764	0.0145629410344642	55	0.13189448441247	RPL31;MRPS14;RPL34;MRPL36;RPL9;MRPL32;RPL7;PCMT1;MRPL42;UBL5;MRPL3;RPS17;PPP4R2;RPS18;RPL35;CTSG;RPL39;RPS10;ATG3;CSNK1G3;RPL21;RPS7;RPL23;MRPS21;ADAM10;RPS3A;MRPS18C;RPL24;RPL27;MRPS36;MRPS33;RPL11;SRBD1;RPL36A;MRPL13;MRPL11;CLN5;RPS15A;ST8SIA4;ST3GAL6;IGFBP7;SEC11A;SEC11C;SLC35A1;RPL41;MRPL27;COPS5;RPS27;RPS29;QPCT;MSRB2;UBA3;RSL24D1;RPS21;RPS24
positive regulation of T-helper 1 cell cytokine production (GO:2000556)	4/5	0.000185937698322546	0.0183980459392835	4	0.8	IL1R1;IL18;XCL1;IL18R1
regulation of T-helper 1 cell cytokine production (GO:2000554)	4/5	0.000185937698322546	0.0183980459392835	4	0.8	IL1R1;IL18;XCL1;IL18R1
rRNA processing (GO:0006364)	28/173	0.000236412912466254	0.022792629509567	28	0.161849710982659	RPL31;RPL34;RPL11;FCF1;RPL36A;RPL9;WDR43;RPL7;RPF1;RPS17;EMG1;MRPL1;RPL35;RIOK2;EXOSC3;RPL39;RRP15;DCAF13;RPL41;RPL21;RPS7;RPL23;LSM6;RPS27;C1D;RPL24;RPL27;RPS24
respiratory chain complex IV assembly (GO:0008535)	8/23	0.000258591338931819	0.024307585859591	8	0.347826086956522	COX16;PET100;SCO2;COX17;COX14;SMIM20;PET117;COA6
regulation of nuclease activity (GO:0032069)	4/6	0.00052254293620405	0.0476132236637229	4	0.666666666666667	OAS1;OAS3;HMGB2;OASL
cellular response to interferon-gamma (GO:0071346)	21/121	0.000531849838796905	0.0476132236637229	21	0.173553719008264	GBP5;CCL23;IFNGR1;AIF1;OASL;IFNG;OAS1;OAS3;CASP1;IRF7;XCL1;CD58;JAK2;FCGR1A;GBP2;GBP1;TRIM22;HLA-DRB1;GBP4;GBP3;TRIM34
