Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
cellular protein metabolic process (GO:0044267)	39/417	9.29214799625223e-07	0.000146375783962015	39	0.0935251798561151	RPL31;MRPS36;RPL34;MRPS33;RPL36A;MRPL36;RPL9;MRPL13;MRPL32;RPL7;MRPL11;PCMT1;UBL5;MRPL3;RPS17;RPS15A;PPP4R2;RPL35;ST3GAL6;RPL39;ATG3;SLC35A1;RPL41;RPL21;RPS7;RPL23;MRPL27;RPS3A;MRPS18C;COPS5;RPS27;RPS29;AGO2;UBA3;RPL27;RSL24D1;RPS21;RPS24;EIF4G1
neutrophil activation involved in immune response (GO:0002283)	43/485	1.08942396723752e-06	0.000163032296697095	43	0.088659793814433	ORM1;MS4A3;TNFAIP6;CLEC12A;GMFG;CRISP3;HP;SRP14;PRDX4;CREG1;S100A12;ITGAV;CD58;ATP6V1D;CAMP;ATP8B4;PTPRN2;DYNLT1;ANXA3;ARG1;AGL;DEFA4;COMMD3;GGH;MCEMP1;DEFA1;RNASE2;OLFM4;VAMP8;RAP2C;BST1;VAMP7;CLEC4D;VNN1;FABP5;SLPI;PSMA2;S100P;CEACAM8;YPEL5;LAMTOR3;S100A9;S100A8
neutrophil mediated immunity (GO:0002446)	43/488	1.28188609642928e-06	0.000182699289838707	43	0.0881147540983607	ORM1;MS4A3;TNFAIP6;CLEC12A;GMFG;CRISP3;HP;SRP14;PRDX4;CREG1;S100A12;ITGAV;CD58;ATP6V1D;CAMP;ATP8B4;PTPRN2;DYNLT1;ANXA3;ARG1;AGL;DEFA4;COMMD3;GGH;MCEMP1;DEFA1;RNASE2;OLFM4;VAMP8;RAP2C;BST1;VAMP7;CLEC4D;VNN1;FABP5;SLPI;PSMA2;S100P;CEACAM8;YPEL5;LAMTOR3;S100A9;S100A8
mitochondrial respiratory chain complex assembly (GO:0033108)	15/90	2.75387446868119e-06	0.000374652103852855	15	0.166666666666667	NDUFA6;COX16;NDUFA5;PET100;COX17;NDUFB3;NDUFB2;NDUFA1;NDUFB1;SCO2;NDUFS4;TMEM126A;COX14;TMEM126B;SMIM20
ribosome biogenesis (GO:0042254)	22/192	9.88711264277606e-06	0.00128661426694908	22	0.114583333333333	RPL41;RPL21;RPS7;RPL31;RPL34;RPL23;RPL36A;MRPL36;RPL9;RPL7;MRPL22;RPS17;EMG1;RPS27;C1D;RPL35;RPL27;RIOK2;RPL39;RPS24;DCAF13;RPL26L1
rRNA processing (GO:0006364)	20/173	2.17294405039549e-05	0.00270984230951404	20	0.115606936416185	RPL41;RPL21;RPS7;RPL31;RPL34;RPL23;RPL36A;RPL9;RPL7;RPS17;EMG1;RPS27;MRPL1;C1D;RPL35;RPL27;RIOK2;RPL39;RPS24;DCAF13
defense response to virus (GO:0051607)	17/133	2.42925095980075e-05	0.00290829924907345	17	0.12781954887218	RTP4;RSAD2;IFIT5;IFI6;ISG15;IFIT1;RNASE2;IFI44L;IFIT3;IFIT2;OASL;IFIH1;CXCL10;PLSCR1;IFI27;OAS1;PMAIP1
rRNA metabolic process (GO:0016072)	19/162	2.83012754180736e-05	0.00325791220485747	19	0.117283950617284	RPL41;RPL21;RPS7;RPL31;RPL34;RPL23;RPL36A;RPL9;RPL7;RPS17;EMG1;RPS27;XRN1;C1D;RPL35;RPL27;RPL39;RPS24;DCAF13
defense response to symbiont (GO:0140546)	16/124	3.71814890761052e-05	0.00412163691869566	16	0.129032258064516	RTP4;RSAD2;IFIT5;IFI6;ISG15;IFIT1;RNASE2;IFI44L;IFIT3;IFIT2;OASL;IFIH1;PLSCR1;IFI27;OAS1;PMAIP1
negative regulation of viral genome replication (GO:0045071)	10/54	4.95380502719034e-05	0.00529526373085024	10	0.185185185185185	IFIH1;TRIM6;PLSCR1;RSAD2;OAS1;SLPI;IFIT5;ISG15;IFIT1;OASL
regulation of viral genome replication (GO:0045069)	11/67	6.71660498330604e-05	0.00693199955690862	11	0.164179104477612	IFIH1;TRIM6;PLSCR1;CXCL8;RSAD2;OAS1;SLPI;IFIT5;ISG15;IFIT1;OASL
mitochondrial cytochrome c oxidase assembly (GO:0033617)	6/20	9.82418374207839e-05	0.0098012606466802	6	0.3	COX16;PET100;SCO2;COX17;COX14;SMIM20
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	8/39	0.000132644301885773	0.012806593404649	8	0.205128205128205	NDUFA6;NDUFA5;NDUFA4;NDUFB3;NDUFS4;NDUFB2;NDUFA1;NDUFB1
response to lipopolysaccharide (GO:0032496)	17/159	0.000229650291815547	0.0209320448865226	17	0.106918238993711	CD86;CD274;CXCL8;DEFA4;HMGB2;LY96;DEFA1;CXCL10;TRIM6;SLPI;CASP1;STAP1;CARD16;JAK2;S100A9;S100A8;CHMP5
respiratory chain complex IV assembly (GO:0008535)	6/23	0.000230791006099313	0.0209320448865226	6	0.260869565217391	COX16;PET100;SCO2;COX17;COX14;SMIM20
cellular response to type I interferon (GO:0071357)	10/65	0.000248961396837189	0.021289756020963	10	0.153846153846154	RSAD2;IFI27;OAS1;IFIT5;IFI6;ISG15;IFIT1;IFIT3;IFIT2;OASL
type I interferon signaling pathway (GO:0060337)	10/65	0.000248961396837189	0.021289756020963	10	0.153846153846154	RSAD2;IFI27;OAS1;IFIT5;IFI6;ISG15;IFIT1;IFIT3;IFIT2;OASL
defense response to fungus (GO:0050832)	6/24	0.000297339162803861	0.0247204476186654	6	0.25	CLEC4D;DEFA4;S100A12;CLEC4E;S100A9;S100A8
cellular response to virus (GO:0098586)	7/35	0.000411772756877246	0.0333090773333405	7	0.2	IFIH1;CXCL10;CHUK;OAS1;FMR1;IFI6;VWCE
negative regulation of viral process (GO:0048525)	10/70	0.000460717517130378	0.0344602731425157	10	0.142857142857143	IFIH1;TRIM6;PLSCR1;RSAD2;OAS1;SLPI;IFIT5;ISG15;IFIT1;OASL
regulation of defense response (GO:0031347)	11/83	0.000471554138166923	0.0344602731425157	11	0.132530120481928	HERC5;BST1;ANXA1;CASP5;ELMOD2;CASP1;JAK2;PTGS2;FCGR2B;BIRC2;BRD4
mitochondrial respiratory chain complex I assembly (GO:0032981)	9/58	0.000472058536198846	0.0344602731425157	9	0.155172413793103	NDUFA6;NDUFA5;NDUFS4;NDUFB3;TMEM126A;NDUFB2;NDUFA1;NDUFB1;TMEM126B
NADH dehydrogenase complex assembly (GO:0010257)	9/58	0.000472058536198846	0.0344602731425157	9	0.155172413793103	NDUFA6;NDUFA5;NDUFS4;NDUFB3;TMEM126A;NDUFB2;NDUFA1;NDUFB1;TMEM126B
ncRNA processing (GO:0034470)	19/201	0.000493275380492572	0.035151743186054	19	0.0945273631840796	RPL41;RPL21;RPS7;RPL31;RPL34;RPL23;RPL36A;RPL9;RPL7;RPS17;EMG1;RPS27;AGO2;C1D;RPL35;RPL27;RPL39;RPS24;DCAF13
innate immune response (GO:0045087)	25/302	0.000534916317336076	0.0367294890329456	25	0.0827814569536424	CRISP3;IFI6;IFIT1;IFIH1;TRIM6;TBK1;KYNU;TIFA;S100A12;RPL39;CAMP;CHUK;DEFA4;ISG15;DEFA1;RNASE2;CXCL10;VNN1;CLEC4D;IFI27;SLPI;OAS1;CAPZA1;CAPZA2;CLEC4E
positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)	17/171	0.000539959076996193	0.0367294890329456	17	0.0994152046783626	GOLT1B;CHUK;IFIT5;ZDHHC17;TRIM6;TBK1;MIER1;TIFA;TNFSF10;CASP1;S100A12;CCR7;CARD16;HLA-DRB1;BIRC2;BRD4;LAMTOR5
DNA ligation involved in DNA repair (GO:0051103)	3/5	0.000606809621470474	0.040359582156914	3	0.6	POLB;XRCC4;LIG4
cellular response to molecule of bacterial origin (GO:0071219)	13/115	0.000716724579948323	0.0466338406040289	13	0.11304347826087	CD86;CD274;CXCL8;DEFA4;HMGB2;LY96;DEFA1;CXCL10;CASP1;STAP1;CARD16;FCGR2B;CHMP5
prostaglandin biosynthetic process (GO:0001516)	5/19	0.000748828371595869	0.0476860280039667	5	0.263157894736842	PNPLA8;AKR1C3;PLA2G4A;PTGS2;PTGS1
